pos,step_decoded,conf_decoded,token_id,token_str
36,0,0.1845703125,25,:
33,1,0.7890625,34,C
34,2,0.921875,99887,itizen
35,3,0.8515625,355,ĠA
37,4,0.2021484375,331,ĠI
39,5,0.1279296875,1227,'t
40,6,0.76953125,4346,Ġbelieve
38,7,0.96875,560,Ġcan
41,8,0.279296875,438,Ġwe
42,9,0.2890625,3273,'re
43,10,0.2412109375,3555,Ġactually
45,11,0.2373046875,501,Ġthis
44,12,0.75,3686,Ġdoing
46,13,0.64453125,13,.
48,14,0.1875,34,C
47,15,1.0,198,Ċ
49,16,1.0,99887,itizen
50,17,0.99609375,413,ĠB
51,18,1.0,25,:
53,19,0.45703125,1242,Ġknow
52,20,0.9921875,331,ĠI
54,21,0.66796875,11,","
55,22,0.373046875,731,Ġbut
56,23,0.380859375,403,Ġit
57,24,0.8203125,698,'s
58,25,0.3828125,268,Ġthe
60,26,0.796875,1487,Ġway
59,27,0.9609375,1191,Ġonly
61,28,0.55078125,297,Ġto
62,29,0.361328125,18484,Ġsurvive
63,30,0.89453125,13,.
64,31,0.60546875,198,Ċ
65,32,0.9765625,34,C
66,33,1.0,99887,itizen
68,34,1.0,25,:
67,35,1.0,355,ĠA
69,36,0.1767578125,331,ĠI
70,37,0.1845703125,6890,Ġwish
72,38,0.58203125,1402,Ġcould
71,39,0.69140625,438,Ġwe
73,40,0.58203125,1125,Ġjust
79,41,0.396484375,34,C
78,42,1.0,198,Ċ
80,43,1.0,99887,itizen
77,44,0.9375,13,.
74,45,0.2119140625,728,Ġgo
75,46,0.8203125,297,Ġto
76,47,0.93359375,6476,Ġsleep
81,48,1.0,413,ĠB
82,49,1.0,25,:
83,50,0.45703125,4148,ĠMe
84,51,0.9921875,2226,Ġtoo
86,52,0.7109375,731,Ġbut
85,53,0.99609375,11,","
87,54,0.33203125,438,Ġwe
88,55,0.546875,560,Ġcan
89,56,0.98046875,1227,'t
96,57,0.9453125,126081,<|endoftext|>
95,58,0.796875,126348,<|eot_id|>
94,59,0.8125,13,.
90,60,0.455078125,13,.
93,61,0.59765625,16103,Ġillegal
92,62,0.890625,698,'s
91,63,0.9609375,963,ĠIt
